CommonID,PreferredTerm,RadlexID
   4013695,deciduous right maxillary second molar tooth,RID9131_RID5825_RID9279_RID5998_RID9128
   4013696,deciduous tooth,RID9131
   4013697,deep brachial artery,RID864
   4013698,deep femoral artery,RID959
   4013699,deep layer of cervical fascia,RID7535
   4013700,deep layer of deep cervical fascia,RID7538
   4013701,deep middle cerebral vein,RID36164
   4013702,deep palmar arch,RID867
   4013703,deep peroneal nerve,RID7359
   4013704,deep posterior compartment of leg,RID2934
   4013705,deltoid muscle,RID1936
   4013706,dentate gyrus of hippocampus,RID6534
   4013707,dentate gyrus of left hippocampus,RID13961
   4013708,dentate gyrus of right hippocampus,RID13960
   4013709,depressor anguli oris muscle,RID9860
   4013710,depressor labii inferior muscle,RID9853
   4013711,depressor supercilii muscle,RID9881
   4013712,descending colon,RID161
   4013713,descending thoracic aorta,RID35844
   4013714,diaphragm,RID1524
   4013715,diaphysis of femur,RID41864
   4013716,diaphysis of humerus,RID41789
   4013717,diaphysis of left femur,RID41866
   4013718,diaphysis of left humerus,RID41791
   4013719,diaphysis of left radius,RID41793
   4013720,diaphysis of left tibia,RID41870
   4013721,diaphysis of left ulna,RID41796
   4013722,diaphysis of radius,RID39355
   4013723,diaphysis of right femur,RID41865
   4013724,diaphysis of right humerus,RID41790
   4013725,diaphysis of right radius,RID41792
   4013726,diaphysis of right tibia,RID41869
   4013727,diaphysis of right ulna,RID41795
   4013728,diaphysis of tibia,RID2900
   4013729,diaphysis of ulna,RID41794
   4013730,digastric muscle,RID7512
   4013731,distal interphalangeal joint of fifth finger,RID2418_RID2400
   4013732,distal interphalangeal joint of fifth toe,RID3148_RID2999
   4013733,distal interphalangeal joint of fourth finger,RID2418_RID2398
   4013734,distal interphalangeal joint of fourth toe,RID3148_RID2998
   4013735,distal interphalangeal joint of second finger,RID2418_RID2394
   4013736,distal interphalangeal joint of second toe,RID3148_RID2996
   4013737,distal interphalangeal joint of third finger,RID2418_RID2396
   4013738,distal interphalangeal joint of third toe,RID3148_RID2997
   4013739,distal medial striate artery,RID652
   4013740,distal phalanx of fifth finger,RID2406_RID2400
   4013741,distal phalanx of fifth toe,RID3002_RID2999
   4013742,distal phalanx of first finger,RID2406_RID2392
   4013743,distal phalanx of fourth finger,RID2406_RID2398
   4013744,distal phalanx of fourth toe,RID3002_RID2998
   4013745,distal phalanx of great toe,RID3002_RID2993
   4013746,distal phalanx of second finger,RID2406_RID2394
   4013747,distal phalanx of second toe,RID3002_RID2996
   4013748,distal phalanx of third finger,RID2406_RID2396
   4013749,distal phalanx of third toe,RID3002_RID2997
   4013750,distal radioulnar joint,RID2203
   4013751,dorsal compartment of forearm,RID2135
   4013752,dorsal interossei muscle of foot,RID3182
   4013753,dorsal interosseous muscle of hand,RID43161
   4013754,dorsal pancreatic artery,RID922
   4013755,dorsal pedal artery,RID972
   4013756,dorsal radiocarpal ligament,RID2281
   4013757,dorsal radioulnar ligament,RID2229
   4013758,duodenum,RID134
   4013759,ear,RID10053
   4013760,eight thoracic vertebra,RID29205
   4013761,eighth rib,RID28591_RID6158
   4013762,ejaculatory duct,RID361
   4013763,elbow,RID2010
   4013764,elbow joint,RID2011
   4013765,eleventh rib,RID28591_RID6161
   4013766,eleventh thoracic vertebra,RID29208
   4013767,endometrium,RID30958
   4013768,endometrium of cervix,RID31686
   4013769,epididymis,RID371
   4013770,epiglottis,RID7657
   4013771,erector spinae muscle group,RID7780
   4013772,esophageal lymph node,RID1484
   4013773,esophagus,RID95
   4013774,ethmoid bone,RID9199
   4013775,ethmoid sinus,RID9561
   4013776,ethmoidal bulla,RID9566
   4013777,ethmoidal infundibulum,RID9567
   4013777,ethmoidal infundibulum,RID9567
   4013779,eustachian tube,RID9419
   4013780,extensor carpi radialis brevis muscle,RID2144
   4013781,extensor carpi radialis brevis tendon,RID2377
   4013782,extensor carpi radialis longus muscle,RID2145
   4013783,extensor carpi radialis longus tendon,RID2376
   4013784,extensor carpi ulnaris muscle,RID2146
   4013785,extensor carpi ulnaris tendon,RID2382
   4013786,extensor digiti minimi muscle,RID2148
   4013787,extensor digiti minimi tendon,RID2381
   4013788,extensor digitorum brevis muscle,RID3162
   4013789,extensor digitorum longus muscle,RID2913
   4013790,extensor digitorum muscle,RID43114
   4013791,extensor hallucis brevis muscle,RID3163
   4013792,extensor hallucis longus muscle,RID2914
   4013793,extensor hallucis longus tendon,RID3188
   4013794,extensor indicis muscle,RID2157
   4013795,extensor indicis tendon,RID2429
   4013796,extensor pollicis brevis muscle,RID2155
   4013797,extensor pollicis brevis tendon,RID2375
   4013798,extensor pollicis longus muscle,RID2156
   4013799,extensor pollicis longus tendon,RID2378
   4013800,extensor retinaculum,RID2309
   4013801,external anal sphincter,RID39061
   4013802,external auditory canal,RID10094
   4013803,external capsule,RID6908
   4013804,external carotid artery,RID684
   4013805,external ear,RID10054
   4013806,external iliac artery,RID957
   4013807,external iliac lymph node group,RID32018
   4013808,external iliac vein,RID1195
   4013809,external jugular vein,RID1018
   4013810,external oblique,RID31596
   4013811,extraconal space of orbit,RID9726
   4013812,extracranial head,RID6379_RID9080
   4013813,fabella,RID2745
   4013814,face,RID13284
   4013815,facial artery,RID701
   4013816,facial nerve,RID12119
   4013817,falciform ligament,RID81
   4013818,falx cerebri,RID7094
